;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Mass density, kg/m3;Mass density, kg/m3_std
21090;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;278.15;101.325;802.19;0.1
21091;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;283.15;101.325;797.88;0.1
21092;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.325;793.59;0.1
21093;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.325;789.31;0.1
21094;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.325;785.1;0.1
21095;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;780.99;0.1
21096;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.325;776.92;0.1
21102;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;278.15;101.325;741.2;0.1
21103;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;283.15;101.325;737.36;0.1
21104;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;288.15;101.325;733.55;0.1
21105;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;293.15;101.325;729.77;0.1
21106;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;298.15;101.325;726.03;0.1
21107;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;303.15;101.325;722.33;0.1
21108;j.jct.2004.12.010;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;308.15;101.325;718.66;0.1
25155;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;235.0;785.98;0.2
25156;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;5000.0;790.69;0.2
25157;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;9999.0;795.4;0.2
25158;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;15013.0;799.88;0.2
25159;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;19987.0;804.1;0.2
25160;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;25008.0;808.17;0.2
25161;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;29997.0;812.04;0.2
25162;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;34991.0;815.76;0.2
25163;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.26;39981.0;819.34;0.2
25164;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;270.0;762.14;0.2
25165;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;4990.0;767.53;0.2
25166;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;9984.0;772.87;0.2
25167;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;14982.0;777.91;0.2
25168;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;19989.0;782.69;0.2
25169;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;24986.0;787.21;0.2
25170;j.jct.2005.02.004;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.22;29995.0;791.53;0.2
