,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
14038,j.jct.2004.10.001,ethanol,CCO,,,1445.0,,,,,,,,,,,
14039,j.jct.2004.10.001,ethanol,CCO,,,1388.87,,,,,,,,,,,
14040,j.jct.2004.10.001,ethanol,CCO,,,1387.27,,,,,,,,,,,
14041,j.jct.2004.10.001,ethanol,CCO,,,1325.92,,,,,,,,,,,
14042,j.jct.2004.10.001,ethanol,CCO,,,1324.25,,,,,,,,,,,
14043,j.jct.2004.10.001,ethanol,CCO,,,1255.57,,,,,,,,,,,
14044,j.jct.2004.10.001,ethanol,CCO,,,1254.36,,,,,,,,,,,
14045,j.jct.2004.10.001,ethanol,CCO,,,1176.04,,,,,,,,,,,
14046,j.jct.2004.10.001,ethanol,CCO,,,1174.65,,,,,,,,,,,
14047,j.jct.2004.10.001,heptane,CCCCCCC,679.66,,,,,,,,,,,,,
14048,j.jct.2004.10.001,heptane,CCCCCCC,,,1152.51,,,,,,,,,,,
14049,j.jct.2004.10.001,heptane,CCCCCCC,,,1130.92,,,,,,,,,,,
14050,j.jct.2004.10.001,heptane,CCCCCCC,,,1109.04,,,,,,,,,,,
14051,j.jct.2004.10.001,heptane,CCCCCCC,,,1087.16,,,,,,,,,,,
14052,j.jct.2004.10.001,heptane,CCCCCCC,,,1066.04,,,,,,,,,,,
14053,j.jct.2004.10.001,heptane,CCCCCCC,,,1044.52,,,,,,,,,,,
14054,j.jct.2004.10.001,heptane,CCCCCCC,,,1605.28,,,,,,,,,,,
14055,j.jct.2004.10.001,heptane,CCCCCCC,,,1601.93,,,,,,,,,,,
14056,j.jct.2004.10.001,heptane,CCCCCCC,,,1544.87,,,,,,,,,,,
14057,j.jct.2004.10.001,heptane,CCCCCCC,,,1544.66,,,,,,,,,,,
14058,j.jct.2004.10.001,heptane,CCCCCCC,,,1483.64,,,,,,,,,,,
14059,j.jct.2004.10.001,heptane,CCCCCCC,,,1483.38,,,,,,,,,,,
14060,j.jct.2004.10.001,heptane,CCCCCCC,,,1415.72,,,,,,,,,,,
14061,j.jct.2004.10.001,heptane,CCCCCCC,,,1415.53,,,,,,,,,,,
14062,j.jct.2004.10.001,heptane,CCCCCCC,,,1340.95,,,,,,,,,,,
14063,j.jct.2004.10.001,heptane,CCCCCCC,,,1340.39,,,,,,,,,,,
14064,j.jct.2004.10.001,heptane,CCCCCCC,,,1256.48,,,,,,,,,,,
14065,j.jct.2004.10.001,heptane,CCCCCCC,,,1256.01,,,,,,,,,,,
14066,j.jct.2004.10.001,heptane,CCCCCCC,,,1588.27,,,,,,,,,,,
14067,j.jct.2004.10.001,heptane,CCCCCCC,,,1588.55,,,,,,,,,,,
14068,j.jct.2004.10.001,heptane,CCCCCCC,,,1531.02,,,,,,,,,,,
14069,j.jct.2004.10.001,heptane,CCCCCCC,,,1530.75,,,,,,,,,,,
14070,j.jct.2004.10.001,heptane,CCCCCCC,,,1467.91,,,,,,,,,,,
14071,j.jct.2004.10.001,heptane,CCCCCCC,,,1467.68,,,,,,,,,,,
14072,j.jct.2004.10.001,heptane,CCCCCCC,,,1402.12,,,,,,,,,,,
14073,j.jct.2004.10.001,heptane,CCCCCCC,,,1399.44,,,,,,,,,,,
14074,j.jct.2004.10.001,heptane,CCCCCCC,,,1324.46,,,,,,,,,,,
14075,j.jct.2004.10.001,heptane,CCCCCCC,,,1323.18,,,,,,,,,,,
14076,j.jct.2004.10.001,heptane,CCCCCCC,,,1237.64,,,,,,,,,,,
14077,j.jct.2004.10.001,heptane,CCCCCCC,,,1236.9,,,,,,,,,,,
14078,j.jct.2004.10.001,heptane,CCCCCCC,,,1588.59,,,,,,,,,,,
