,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
199,"2,2,4-trimethylpentane__methyl tert-butyl ether",55.0,0.0,55.0,0.0,0.0,0.0,0.0
200,1-heptanol__dibutyl ether,55.0,0.0,55.0,0.0,0.0,0.0,0.0
201,methanol__3-methylphenol,55.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2-propanol__1-propanol,55.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1-butanol__heptane,55.0,0.0,0.0,0.0,38.0,0.0,0.0
204,1-octanol__heptane,55.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1-butanol__dibutyl ether,55.0,0.0,55.0,0.0,84.0,0.0,0.0
206,cyclohexane__JP-10,55.0,0.0,0.0,0.0,0.0,0.0,0.0
207,methanol__4-methylphenol,55.0,0.0,0.0,0.0,0.0,0.0,0.0
208,"pentyl alcohol__1,2-dimethoxyethane",54.0,0.0,0.0,0.0,0.0,0.0,0.0
209,ethylbenzene__methylcyclohexane,52.0,0.0,39.0,0.0,0.0,0.0,0.0
210,"1,2-ethanediol__1-hexanol",50.0,0.0,0.0,0.0,0.0,0.0,0.0
211,"1-butanol__1,2-ethanediol",50.0,0.0,0.0,0.0,0.0,0.0,0.0
212,"1,2-ethanediol__1-octanol",50.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1-propanol__cyclohexane,50.0,0.0,39.0,0.0,0.0,0.0,0.0
214,"butan-1-ol__butane, 1,4-dihydroxy-",50.0,0.0,54.0,0.0,0.0,0.0,40.0
215,ethylbenzene__1-nonanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
216,benzene__2-ethyl-1-hexanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
217,2-methoxyethanol__1-octanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
218,"1,3-dimethylbenzene__1-nonanol",48.0,0.0,48.0,0.0,0.0,0.0,0.0
219,bis(2-hydroxyethyl) ether__butylmethylcarbinol,48.0,0.0,0.0,0.0,0.0,0.0,0.0
220,"benzene__butane, 2-methoxy-2-methyl-",48.0,0.0,0.0,0.0,0.0,0.0,0.0
221,ethylbenzene__cyclooctane,48.0,0.0,13.0,0.0,0.0,0.0,0.0
222,sec-propyl alcohol__bis(2-hydroxyethyl) ether,48.0,0.0,0.0,0.0,0.0,0.0,0.0
223,2-methoxyethanol__1-hexanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
224,"1,4-dimethylbenzene__1-nonanol",48.0,0.0,48.0,0.0,0.0,0.0,0.0
225,tetrahydrofuran__n-hexyl alcohol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
226,octane__1-octanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
227,"2,2,4-trimethylpentane__butane, 2-methoxy-2-methyl-",48.0,0.0,0.0,0.0,0.0,0.0,0.0
228,1-butanol__octane,48.0,0.0,48.0,0.0,16.0,0.0,0.0
229,1-octanol__decane,48.0,0.0,48.0,0.0,0.0,0.0,0.0
230,hexane__1-octanol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
231,butan-2-ol__bis(2-hydroxyethyl) ether,48.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1-butanol__decane,48.0,0.0,48.0,0.0,0.0,0.0,0.0
233,"1,2-ethanediol__1-nonanol",48.0,0.0,55.0,0.0,0.0,0.0,0.0
234,toluene__cyclooctane,48.0,0.0,13.0,0.0,0.0,0.0,0.0
235,"1,2-dimethylbenzene__1-nonanol",48.0,0.0,48.0,0.0,0.0,0.0,0.0
236,tetrahydrofuran__octyl alcohol,48.0,0.0,48.0,0.0,0.0,0.0,0.0
237,bis(2-hydroxyethyl) ether__amylmethylcarbinol,48.0,0.0,0.0,0.0,0.0,0.0,0.0
238,bis(2-hydroxyethyl) ether__pentan-2-ol,48.0,0.0,0.0,0.0,0.0,0.0,0.0
239,benzene__cyclooctane,48.0,0.0,13.0,0.0,0.0,0.0,0.0
240,1-hexanol__heptane,45.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2-butoxyethan-1-ol__water,45.0,0.0,45.0,0.0,0.0,0.0,0.0
242,isopropanol__isobutyl alcohol,45.0,0.0,0.0,0.0,0.0,0.0,0.0
243,toluene__heptane,45.0,0.0,12.0,0.0,0.0,0.0,0.0
244,"ethanol__1,2-dimethoxyethane",45.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2-(2-methylpropoxy)ethanol__water,45.0,0.0,45.0,0.0,0.0,0.0,0.0
246,"2-methoxyethanol__ethanol, 2-ethoxy-",44.0,0.0,44.0,0.0,0.0,0.0,0.0
247,"1,2-dimethoxyethane__1-octanol",44.0,0.0,0.0,0.0,0.0,0.0,0.0
248,n-propyl alcohol__isobutyl alcohol,44.0,0.0,0.0,0.0,0.0,0.0,0.0
249,"1,3,5-trimethylbenzene__2-methoxyethanol",42.0,0.0,0.0,0.0,0.0,0.0,0.0
250,"1,4-dimethylbenzene__hexane",42.0,0.0,0.0,0.0,0.0,0.0,0.0
251,"1,3,5-trimethylbenzene__1,2-dimethoxyethane",42.0,0.0,0.0,0.0,0.0,0.0,0.0
252,toluene__2-hexanol,42.0,0.0,42.0,0.0,0.0,0.0,0.0
253,"1,2,4-trimethylbenzene__1,2-dimethoxyethane",42.0,0.0,0.0,0.0,0.0,0.0,0.0
