;Mixture;Count
547;benzene__cyclopentane;26
548;methylcyclohexane__2-octanol;26
549;2-methyl-2-propanol__2-methyltetrahydrofuran;26
550;2-methyl-1-propanol__2-methyltetrahydrofuran;26
551;ethylbenzene__nonane;26
552;ethylbenzene__octane;26
553;ethylbenzene__cyclopentane;26
554;n-propyl alcohol__water;25
555;benzene__toluene;25
556;ethylene glycol__1-heptanol;25
557;butan-1-ol__1,3-benzenediol;25
558;glycerol__ethanol;25
559;propan-1-ol__1,3-benzenediol;25
560;methylcyclohexane__2-hexanol;24
561;2-ethyl-1-hexanol__1-heptanol;24
562;D-(+)-arabitol__water;24
563;benzene__hexane;24
564;methylcyclohexane__2-heptanol;24
565;methylcyclohexane__2-pentanol;24
566;2-n-butoxyethanol__water;24
567;2-ethyl-1-hexanol__1-nonanol;24
568;2-ethoxyethanol__water;24
569;methanol__toluene;24
570;isobutanol__water;24
571;neohexane__tetrahydrofuran;23
572;ethane, 1,1'-oxybis-__1,3-dioxolane;23
573;ethylbenzene__toluene;23
574;diisopropyl__tetrahydrofuran;23
575;pentan-1-ol__1,3-dioxolane;22
576;1,3-dimethylbenzene__pentylcarbinol;22
577;1-propanol__1-heptanol;22
578;2-ethyl-1-hexanol__ethylene glycol;22
579;1-pentanol__1-nonanol;22
580;2-propanol__1,4-dimethylbenzene;22
581;benzene__ethylbenzene;22
582;2-methoxyethanol__1,3-dioxolane;22
583;ethylbenzene__methoxybenzene;22
584;2-butoxyethanol__1,3-dioxolane;22
585;2-propanol__1,2-dimethylbenzene;22
586;1,2-dimethylbenzene__pentylcarbinol;22
587;heptane__cyclooctane;22
588;1-propanol__1-nonanol;22
589;ethanol, 2-ethoxy-__1,3-dioxolane;22
590;ethylene glycol__1-nonanol;22
591;1-propanol__1-pentanol;22
592;methoxybenzene__butylbenzene;22
593;1-pentanol__1-heptanol;22
594;1-heptanol__1-nonanol;22
595;methoxybenzene__propylbenzene;22
596;ethane, 1,1'-oxybis-__pentan-1-ol;22
597;n-decane__2-heptanol;21
598;methanol__tetrahydrofuran;21
599;tetramethylene oxide__dibutyl ether;21
600;isopropyl ether__toluene;21
601;2-octanol__n-decane;21
602;water__propanol, oxybis-;21
603;hexane__methyl tert-butyl ether;21
604;n-decane__2-hexanol;21
605;1-propanol__octane;20
606;butane, 2,2-dimethyl-__butyl oxide;20
607;3-pentanol__water;20
608;1-pentanol__tetrahydropyran;20
609;toluene__pentane;20
610;2,3-dimethylbutane__ether, dipropyl;20
611;dipropyl ether__dibutyl ether;20
612;ethanol__1,3-benzenediol;20
613;2-propanol__1,3-dimethylbenzene;20
614;methanol__dibutyl ether;20
615;2,3-dimethylbutane__butyl oxide;20
616;tetramethylene oxide__dipropyl ether;20
617;1-pentanol__2-ethyl-1-hexanol;20
618;ethanol__ethylene glycol;20
619;1-pentanol__2-methyl-1-propanol;19
620;2-methyl-2-propanol__1,2,4-trimethylbenzene;19
621;2-methyl-1-propanol__1,3,5-trimethylbenzene;19
622;butane, 2,2-dimethyl-__ether, dipropyl;19
623;cyclohexane__butane, 2,2-dimethoxy-;19
624;1-propanol__tert-butyl ethyl ether;19
625;1,1-diethoxyethane__cyclohexane;19
626;methanol__methoxymethane;19
627;1-methoxy-2-propanol__cyclohexane;19
628;2-methyl-1-propanol__3-methyl-1-butanol;19
629;cyclohexane__5-oxanonane;19
630;1,2,4-trimethylbenzene__tetrahydrofuran;19
631;2-methyl-2-propanol__1,2-dimethylbenzene;19
632;3-methylpentane__isopropyl ether;19
633;tetrahydrofuran__methyl tert-butyl ether;19
634;2-methyltetrahydrofuran__methyl tert-butyl ether;19
635;epoxypropane__2-methylpentane;19
636;octane__1,4-dioxane;19
637;1-propanol__methoxymethane;19
638;propane__methoxymethane;19
639;2-methyl-1-propanol__1,2,4-trimethylbenzene;19
640;ethanol__methoxymethane;19
641;1-butanol__1,3,5-trimethylbenzene;19
642;1-butanol__methoxymethane;19
643;2-methyl-1-propanol__2-methyl-1-butanol;19
644;benzene__1,1-diethoxyethane;19
645;ethanol__tetrahydropyran;19
646;2-methylphenol__nonane;19
647;1,4-dimethylbenzene__isopropyl ether;19
648;cyclohexane__dibutyl ether;19
649;benzene__1-methoxy-2-propanol;19
650;1-pentanol__decane;19
651;1,2-dimethylbenzene__isopropyl ether;19
652;2-methyl-2-propanol__1,3-dimethylbenzene;19
653;2-methyl-2-propanol__1,3,5-trimethylbenzene;19
654;1-butanol__1,2,4-trimethylbenzene;19
655;2-methylphenol__decane;19
656;1,3,5-trimethylbenzene__tetrahydrofuran;19
657;2-methyl-2-propanol__1,4-dimethylbenzene;19
658;isopropyl ether__octane;18
659;n-hexane__2,5-dimethylfuran;18
660;butan-2-ol__ethyl tert-pentyl ether;18
661;ethane__toluene;18
662;tetrahydropyran__1-nonanol;18
663;isopropyl ether__heptane;18
664;benzene__butane, 2,2-dimethoxy-;18
665;1-pentanol__nonane;18
666;1-pentanol__hexane;18
667;isopropyl ether__hexane;18
668;2-methyl-2-butanol__ethyl tert-pentyl ether;18
669;1-butanol__ethyl tert-pentyl ether;18
670;3-methyl-2-butanol__water;18
671;1,2-propanediol__2-phenylethanol;17
672;2-phenylethanol__bis(2-hydroxyethyl) ether;17
673;benzyl alcohol__ethanol, 2-ethoxy-;17
674;benzyl alcohol__3,6-dioxaoctane;17
675;2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane;17
676;benzyl alcohol__dibutyl ether;17
677;2-phenylethanol__triethylene glycol;17
678;diethylene glycol__water;17
679;benzyl alcohol__1,2-dimethoxyethane;17
680;2-phenylethanol__1,2-ethanediol;17
681;2-methylphenol__toluene;17
682;benzyl alcohol__3,6-dioxa-1-octanol;17
683;1-propanol__decane;17
684;decahydronaphthalene__isopropyl ether;16
685;isopropyl ether__cyclohexane;16
686;tert-pentyl alcohol__water;16
687;benzene__isopropyl ether;16
