,filename,components,smiles,"Speed of sound, m/s","Speed of sound, m/s_std"
55404,j.jct.2005.10.009,heptane,CCCCCCC,1130.26,0.5
55405,j.jct.2005.10.009,heptane,CCCCCCC,1108.78,0.5
55406,j.jct.2005.10.009,heptane,CCCCCCC,1087.47,0.5
55407,j.jct.2005.10.009,heptane,CCCCCCC,1066.28,0.5
55408,j.jct.2005.10.009,heptane,CCCCCCC,1043.9,0.5
58113,j.jct.2005.12.005,methylcyclohexane,CC1CCCCC1,1217.0,2.434
58123,j.jct.2005.12.005,benzene,c1ccccc1,1302.0,2.604
58133,j.jct.2005.12.005,toluene,Cc1ccccc1,1314.0,2.628
58143,j.jct.2005.12.005,"1,4-dimethylbenzene",Cc1ccc(C)cc1,1326.0,2.652
58153,j.jct.2005.12.005,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,1346.0,2.692
58163,j.jct.2005.12.005,methoxybenzene,COc1ccccc1,1410.0,2.82
60466,j.jct.2006.01.016,methanol,CO,1086.37,0.1
60467,j.jct.2006.01.016,methanol,CO,1070.11,0.1
60468,j.jct.2006.01.016,methanol,CO,1053.96,0.1
60469,j.jct.2006.01.016,methanol,CO,1037.91,0.1
63766,j.jct.2006.03.010,methanol,CO,1109.0,1.109
63767,j.jct.2006.03.010,methanol,CO,1076.0,1.076
63772,j.jct.2006.03.010,ethanol,CCO,1144.0,1.144
63773,j.jct.2006.03.010,ethanol,CCO,1111.0,1.111
63778,j.jct.2006.03.010,1-propanol,CCCO,1212.0,1.212
63779,j.jct.2006.03.010,1-propanol,CCCO,1177.0,1.177
63784,j.jct.2006.03.010,1-butanol,CCCCO,1235.0,1.235
63785,j.jct.2006.03.010,1-butanol,CCCCO,1210.0,1.21
64869,j.jct.2006.03.018,methoxybenzene,COc1ccccc1,1412.0,2.0
64879,j.jct.2006.03.018,ethanol,CCO,1161.0,2.0
64889,j.jct.2006.03.018,1-propanol,CCCO,1206.0,2.0
64899,j.jct.2006.03.018,2-propanol,CC(C)O,1141.0,2.0
64909,j.jct.2006.03.018,1-butanol,CCCCO,1246.0,2.0
64919,j.jct.2006.03.018,1-pentanol,CCCCCO,1286.0,2.0
64929,j.jct.2006.03.018,3-methyl-1-butanol,CC(C)CCO,1241.0,2.0
73776,j.jct.2006.06.008,cyclohexane,C1CCCCC1,1279.0,0.1
73777,j.jct.2006.06.008,cyclohexane,C1CCCCC1,1254.0,0.1
73778,j.jct.2006.06.008,cyclohexane,C1CCCCC1,1230.0,0.1
73785,j.jct.2006.06.008,cyclopentane,C1CCCC1,1232.0,0.1
73786,j.jct.2006.06.008,cyclopentane,C1CCCC1,1206.0,0.1
73787,j.jct.2006.06.008,cyclopentane,C1CCCC1,1180.0,0.1
73794,j.jct.2006.06.008,1-propanol,CCCO,1223.0,0.1
73795,j.jct.2006.06.008,1-propanol,CCCO,1206.0,0.1
